aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14818705,lsidyv38311b7a -- lsidyv2eb11de5,"mason, william, poet.","mason, william",https://www.wikidata.org/wiki/Q3098261,Q3098261,"elfrida, a dramatic poem, written on the model of the antient greek tragedy. (letters concerning the following drama.). [electronic resource]","elfrida, a dramatic poem, written on the model of the antient greek tragedy",(letters concerning the following drama.),,,,,,"london, 1752.",1752,london,,tragedy
14818804,lsidyv349d29ca,"maturin, charles robert.","maturin, charles robert",https://www.wikidata.org/wiki/Q561027,Q561027,"bertram; or, the castle of st. aldobrand; a tragedy, in five acts [and in verse]. [electronic resource]","bertram; or, the castle of st. aldobrand; a tragedy, in five acts",[and in verse],,,,,,"london, 1816.",1816,london,,tragedy
14818808,lsidyv349d3185,"maturin, charles robert.","maturin, charles robert",https://www.wikidata.org/wiki/Q561027,Q561027,"fredolfo; a tragedy, in five acts [and in verse]. [electronic resource]","fredolfo; a tragedy, in five acts",[and in verse],,,,,,"london, 1819.",1819,london,,tragedy
14818944,lsidyv345af8a8,"meilan, mark anthony.","meilan, mark anthony",https://www.wikidata.org/wiki/Q18733129,Q18733129,emilia. a tragedy. [in verse.] [electronic resource],emilia. a tragedy,[in verse.],,,,,,"london : printed for the author, [1771.].",1771,london,printed for the author,tragedy
14818945,lsidyv31b04108,"meilan, mark anthony.","meilan, mark anthony",https://www.wikidata.org/wiki/Q18733129,Q18733129,northumberland. a tragedy [in five acts and in verse]. [electronic resource],northumberland. a tragedy,[in five acts and in verse],,,,,,"london, [1771.]",1771,london,,tragedy
14819044,lsidyv3492ce40,"merivale, herman charles, 1839-1906.","merivale, herman charles",https://www.wikidata.org/wiki/Q5739629,Q5739629,"florien [electronic resource] : a tragedy in five acts, and other poems.","florien: a tragedy in five acts, and other poems",,,,,,,"london; aberdeen [printed] : remington & co., 1884.",1884,london,remington & co.,tragedy
14819070,lsidyv3a582e91,"merry, robert, poet.","merry, robert",https://www.wikidata.org/wiki/Q16859410,Q16859410,"lorenzo, a tragedy in five acts [in verse], etc. [electronic resource]","lorenzo, a tragedy in five acts, etc.",[in verse],,,,,,"london, 1791.",1791,london,,tragedy
14819075,lsidyv31923839,"metastasio, pietro, 1698-1782.","metastasio, pietro",https://www.wikidata.org/wiki/Q29473,Q29473,"the patriot, a tragedy [in five acts and in verse]. altered from the italian [of the “temistocle”] of metastasio [by c. hamilton]. [electronic resource]","the patriot, a tragedy",[in five acts and in verse]. altered from the italian [of the “temistocle”] of metastasio [by c. hamilton],,"hamilton, charles, captain.","hamilton, charles, captain",,,"london, [1784.]",1784,london,,tragedy
14819108,lsidyv341f4cb9,"mickle, william julius, translator of “the lusiad.”.","mickle, william julius",https://www.wikidata.org/wiki/Q8013808,Q8013808,"poems, and a tragedy. (the siege of marseilles [in five acts, and in verse]. anecdotes of mr. mickle, with letters from lord lyttelton.). [electronic resource]","poems, and a tragedy. (the siege of marseilles)","[in five acts, and in verse]. anecdotes of mr. mickle, with letters from lord lyttelton",,"lyttelton, thomas, baron lyttelton.","lyttelton, thomas",,,"london, 1794.",1794,london,,tragedy
14819213,lsidyv34935dc5,"milman, henry hart, 1791-1868.","milman, henry hart",https://www.wikidata.org/wiki/Q4269655,Q4269655,fazio. a tragedy. [in five acts and in verse.] [electronic resource],fazio. a tragedy,[in five acts and in verse.],,,,,,"oxford, 1815.",1815,oxford,,tragedy
14819318,lsidyv349d3efd,"mitford, mary russell.","mitford, mary russell",https://www.wikidata.org/wiki/Q455571,Q455571,"julian, a tragedy in five acts [and in verse]. [electronic resource]","julian, a tragedy in five acts",[and in verse],,,,,,"london, 1823.",1823,london,,tragedy
14819333,lsidyv31af7dd0,,,,,"the fall of the mogul, a tragedy [in five acts, in verse ... with other occasional poems. by the author of indian antiquities [t. maurice]. [electronic resource]","the fall of the mogul, a tragedy","[in five acts, in verse ... with other occasional poems. by the author of indian antiquities [t. maurice]",,"maurice, thomas, 1754-1824.","maurice, thomas",,,"london, 1806.",1806,london,,tragedy
14823158,lsidyv338edee3 -- lsidyv345aff4c,,,,,[the tragedy of nero. [in five acts and in verse.] newly written.] [electronic resource],the tragedy of nero,[in five acts and in verse.] newly written,another edition,,,,,"london : a. mathewes for t. jones, 1633.",1633,london,a. mathewes for t. jones,tragedy
