aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14805002,lsidyv34931b7e,"bell, florence eveleen eleanore, lady.","bell, florence eveleen eleanore",https://www.wikidata.org/wiki/Q1239638,Q1239638,chamber comedies. a collection of plays and monologues for the drawing room. [electronic resource],chamber comedies. a collection of plays and monologues for the drawing room,,,,,,,"london : longmans & co., 1890.",1890,london,longmans & co.,comedy
14805026,lsidyv3499acae,"bell, robert, author of “the life of canning.”.","bell, robert",https://www.wikidata.org/wiki/Q7342007,Q7342007,"[mothers and daughters: a comedy in five acts, etc.] [electronic resource]","mothers and daughters: a comedy in five acts, etc.",,second edition with an explanatory preface,,,,,"london : john mortimer, 1844.",1844,london,john mortimer,comedy
14805645,lsidyv338f3f9a,"boothby, frances.","boothby, frances",https://www.wikidata.org/wiki/Q1440790,Q1440790,"marcelia: or, the treacherous friend. a tragicomedy, etc. [electronic resource]","marcelia: or, the treacherous friend. a tragicomedy, etc.",,,,,,,"london : for will. cademan & giles widdowes, 1670.",1670,london,for will. cademan & giles widdowes,comedy
14805706,lsidyv3499b08f,"boucicault, dion, 1820-1890.","boucicault, dion",https://www.wikidata.org/wiki/Q582694,Q582694,"[london assurance, a comedy, in five acts.] [electronic resource]","london assurance, a comedy, in five acts",,the second edition,,,,,"london : printed for the author, 1841.",1841,london,printed for the author,comedy
14805929,lsidyv3a3d9b1a,"brewer, john francis.","brewer, john francis",https://www.wikidata.org/wiki/Q68622017,Q68622017,the speculators. a comedy. [electronic resource],the speculators. a comedy,,,,,,,"london : methuen & co., 1897.",1897,london,methuen & co.,comedy
14805937,lsidyv345b0a4d,,,,,"the counterfeit bridegroom: or, the defeated widow. a comedy, as it is acted at his royal highness the duke's theatre. [in verse. an adaptation, sometimes attributed to thomas betterton, of “no wit, no help like a woman,” by thomas middleton.] [electronic resource]","the counterfeit bridegroom: or, the defeated widow. a comedy","as it is acted at his royal highness the duke's theatre. [in verse. an adaptation, sometimes attributed to thomas betterton, of “no wit, no help like a woman,” by thomas middleton.]",,"middleton, thomas, dramatist.","middleton, thomas",,,"london : for langley curtiss, 1677.",1677,london,for langley curtiss,comedy
14805948,lsidyv3944fed3,"bridges, robert, 1844-1930.","bridges, robert",https://www.wikidata.org/wiki/Q925991,Q925991,the humours of the court: a comedy; and other poems. [electronic resource],the humours of the court: a comedy; and other poems,,,,,,,"pp. 185. g. bell & sons: london; boston [printed], 1893.",1893,boston,g. bell & sons.,comedy
14806005,lsidyv345c61df,"brome, richard, d. 1652?","brome, richard",https://www.wikidata.org/wiki/Q3430577,Q3430577,"the queenes exchange, a comedy, etc. [in verse. edited by h. brome.] [electronic resource]","the queenes exchange, a comedy, etc.",[in verse. edited by h. brome.],,"brome, henry.","brome, henry",,,"london : for henry brome, 1657.",1657,london,for henry brome,comedy
14806006,lsidyv345b03ea,"brome, richard, d. 1652?","brome, richard",https://www.wikidata.org/wiki/Q3430577,Q3430577,the sparagus garden: a comedie. [in verse.] [electronic resource],the sparagus garden: a comedie,[in verse.],,,,,,"london : j. okes, for francis constable, 1640.",1640,london,j. okes for francis constable,comedy
14806345,lsidyv349b58ca,"bunn, alfred.","bunn, alfred",https://www.wikidata.org/wiki/Q4722386,Q4722386,"the minister and the mercer. a comedy, in five acts, etc. [electronic resource]","the minister and the mercer. a comedy, in five acts, etc.",,,,,,,"london : john miller, 1834.",1834,london,john miller,comedy
14806927,lsidyv345ce933,"carpenter, richard, vicar of poling.","carpenter, richard",https://www.wikidata.org/wiki/Q7324632,Q7324632,a new play call'd the pragmatical jesuit newleven'd. a comedy. [with a portrait.] [electronic resource],a new play call'd the pragmatical jesuit newleven'd. a comedy,[with a portrait.],,,,,,"london : for n. r., [1665?].",1665,london,for n. r.,comedy
14806956,lsidyv349cace9,"centlivre, susanna, 1667?-1723.","centlivre, susanna",https://www.wikidata.org/wiki/Q931103,Q931103,"[the gamester: a comedy, etc. [by susanna carroll, afterwards centlivre. based on “le joueur” of jean françois regnard.]] [electronic resource]","the gamester: a comedy, etc.","[by susanna carroll, afterwards centlivre. based on “le joueur” of jean françois regnard.]",the second edition,,,,,1708,1708,,,comedy
14806978,lsidyv338f423c,"caryl, john.","caryl, john",https://www.wikidata.org/wiki/Q6225416,Q6225416,"sir salomon; or, the cautious coxcomb; a comedy. [in five acts and in prose. by j. caryl.] [electronic resource]","sir salomon; or, the cautious coxcomb; a comedy",[in five acts and in prose. by j. caryl.],,,,,,"london, 1671.",1671,london,,comedy
14807036,lsidyv338f44d9,"cavendish, william, duke of newcastle.","cavendish, william",https://www.wikidata.org/wiki/Q1101373,Q1101373,"the triumphant widow, or the medley of humours. a comedy. [electronic resource]","the triumphant widow, or the medley of humours. a comedy",,,,,,,"london : j. m. for h. herringman, 1677.",1677,london,j. m. for h. herringman,comedy
