aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14809476,lsidyv3a583749,"dryden, john, 1631-1700.",John Dryden,https://www.wikidata.org/wiki/Q213355,Q213355,"the vindication: or the parallel of the french holy-league, and the english league and covenant, turn'd into a seditious libell against the king and his royal highness, by thomas hunt and the author of the reflections upon the pretended parallel in the play called the duke of guise. written by mr. dryden. [electronic resource]","the vindication: or the parallel of the french holy-league, and the english league and covenant","turn'd into a seditious libell against the king and his royal highness, by thomas hunt and the author of the reflections upon the pretended parallel in the play called the duke of guise. written by mr. dryden",,"hunt, thomas, a lawyer.","hunt, thomas",,,"printed for jacob tonson : london, 1683.",1683,london,printed for jacob tonson,play
14809509,lsidyv349bc0bb,"dubourg, augustus w.",Augustus William Dubourg,https://www.wikidata.org/wiki/Q61639120,Q61639120,"four original plays, unacted. [electronic resource]","four original plays, unacted",,,,,,,"london : r. bentley & son, 1883.",1883,london,r. bentley & son,play
14809554,lsidyv3ccdf287,"dumas, alexandre, 1824-1895.",Alexandre Dumas fils,https://www.wikidata.org/wiki/Q169150,Q169150,"[the story of denise; or, love and retribution. [cuttings from the new york “sunday mercury” containing the novel by h. ll. williams founded on the play by dumas. together with cuttings from french newspapers relating to the production of the play.]] [electronic resource]","the story of denise; or, love and retribution",[cuttings from the new york “sunday mercury” containing the novel by h. ll. williams founded on the play by dumas. together with cuttings from french newspapers relating to the production of the play.],another edition,"williams, henry llewellyn.","williams, henry llewellyn",,,"london : john & robert maxwell, [1885.].",1885,london,john & robert maxwell,play
14809620,lsidyv345d7c7a,"d'urfey, thomas, 1653-1723.",Thomas d'Urfey,https://www.wikidata.org/wiki/Q2145838,Q2145838,a commonwealth of women; a play [in five acts and in prose]. [electronic resource],a commonwealth of women; a play,[in five acts and in prose],,,,,,"london, 1686.",1686,london,,play
14809644,lsidyv3494830f,"duvard, primogene.","duvard, primogene",,,"mary tudor: an historical drama, in five acts [and in prose], etc. [electronic resource]","mary tudor: an historical drama, in five acts","[and in prose], etc.",,,,,,"northallerton, 1844.",1844,northallerton,,play
14809670,lsidyv349bb779,,,,,the earl's revenge; or lady jane grey. a five-act historical play [in verse]. by the author of “tacitus and bracciolini” [j. w. ross]. [electronic resource],the earl's revenge; or lady jane grey. a five-act historical play,[in verse]. by the author of “tacitus and bracciolini” [j. w. ross],,"grey, jane, lady. -- ross, john wilson.","grey, jane |ross, john wilson",,,"london : diprose & bateman, 1882.",1882,london,diprose & bateman,play
14809722,lsidyv314d3ba0,,,,,edgar and emmeline; a fairy tale: in a dramatic entertainment of two acts [and in prose. by j. hawkesworth]. [electronic resource],edgar and emmeline; a fairy tale: in a dramatic entertainment of two acts,[and in prose. by j. hawkesworth],,,,,,"london, 1761.",1761,london,,play
14809751,lsidyv345cd2de,,,,,"king edward the third, with the fall of mortimer, earl of march. an historicall play [in five acts, prose, and verse, by j. bancroft? with a dedication by w. mountfort]. [electronic resource]","king edward the third, with the fall of mortimer, earl of march. an historicall play","[in five acts, prose, and verse, by j. bancroft? with a dedication by w. mountfort]",,"bancroft, john, surgeon. -- mountfort, william.","bancroft, john, surgeon |mountfort, william",,,"london : j. hindmarsh, 1691.",1691,london,j. hindmarsh,play
14809752,lsidyv3942fd62,,,,,"[the first and second parts of king edward the fourth. containing his merie pastime with the tanner of tamworth, etc. [a play in verse by t. heywood.] b.l.] [electronic resource]","the first and second parts of king edward the fourth. containing his merie pastime with the tanner of tamworth, etc.",[a play in verse by t. heywood.] b.l,,,,,,"london, 1626.",1626,london,,play
14810228,lsidyv3491e26e,"evans, a. eubule (albert eubule), 1839-1896.",Albert Eubule Evans,https://www.wikidata.org/wiki/Q64685677,Q64685677,the curse of immortality. [a dramatic poem in three acts.] [electronic resource],the curse of immortality,[a dramatic poem in three acts.],,,,,,"london, cambridge [printed], 1873.",1873,london & cambridge,cambridge printed,play
14810524,lsidyv34ebfaa1,,,,,"the abdication of ferdinand; or, napoleon at bayonne, an historical play in five acts [and in verse]. [electronic resource]","the abdication of ferdinand; or, napoleon at bayonne, an historical play in five acts",[and in verse],,"napoleon i, emperor of the french, 1769-1821.",napoleon i.,,,"london, 1809.",1809,london,,play
14810594,lsidyv34ed6179,"field, michael.","field, michael",,,"attila, my attila! a play. [in verse.] [electronic resource]","attila, my attila! a play",[in verse.],,,,,,"london : elkin mathews, 1896.",1896,london,elkin mathews,play
14810596,lsidyv349b8a0a,"field, michael.","field, michael",,,"a question of memory. a play in four acts, etc. [electronic resource]","a question of memory. a play in four acts, etc.",,,,,,,"london : elkin mathews & john lane, 1893.",1893,london,elkin mathews & john lane,play
14810598,lsidyv34989a20,"field, michael.","field, michael",,,"the tragic mary. [a drama, in prose and verse.] [electronic resource]",the tragic mary,"[a drama, in prose and verse.]",,,,,,"london : g. bell & sons, 1890.",1890,london,g. bell & sons,play
14810749,lsidyv349984f9,"fiennes, thomas, baron dacre.","fiennes, thomas",,,"dacre of the south; or, the olden time. a drama. [by richard z. s. troughton.] [electronic resource]","dacre of the south; or, the olden time. a drama",[by richard z. s. troughton.],,"troughton, richard zouch s.","troughton, richard zouch s.",,,"london : charing cross publishing co., 1877.",1877,london,charing cross publishing co.,play
14810757,lsidyv349b535e,,,,,"count filippo; or, the unequal marriage. a drama in five acts. by the author of “saul” [i.e. c. heavysege]. [electronic resource]","count filippo; or, the unequal marriage. a drama in five acts",by the author of “saul” [i.e. c. heavysege],,,,,,"montreal, 1860.",1860,montreal,,play
14810948,lsidyv3458782e,"foote, samuel.",Samuel Foote,https://www.wikidata.org/wiki/Q766758,Q766758,the dramatic works of samuel foote. [electronic resource],the dramatic works of samuel foote,,,,,,,"london, 1757-87.",1757,london,,play
14810987,lsidyv34252244,"ford, john, dramatist.",John Ford,https://www.wikidata.org/wiki/Q503798,Q503798,"the dramatic works of john ford ... with notes critical and explanatory, by w. gifford ... to which are added fame's memorial and verses to the memory of ben jonson. [electronic resource]",the dramatic works of john ford,"with notes critical and explanatory, by w. gifford...to which are added fame's memorial and verses to the memory of ben jonson",,"gifford, william, editor of the quarterly review.","gifford, william",,,"london, 1827.",1827,london,,play
14810989,lsidyv345b374e,"ford, john, dramatist.",John Ford,https://www.wikidata.org/wiki/Q503798,Q503798,the ladies triall. [a play in five acts and chiefly in verse.] [electronic resource],the ladies triall,[a play in five acts and chiefly in verse.],,,,,,"london, 1639.",1639,london,,play
14811041,lsidyv349918dd,"forster, william, dramatist.","forster, william",,,"the brothers. a drama [in five acts and in verse]. (the ballad of the black horseman, etc.). [electronic resource]",the brothers. a drama,"[in five acts and in verse]. (the ballad of the black horseman, etc.)",,,,,,"london, lewes [printed], 1877.",1877,london,,play
14811067,lsidyv38e58d38,"foster, j. monk.","foster, j. monk",,,passion's aftermath. a dramatic story. [electronic resource],passion's aftermath. a dramatic story,,,,,,,"london : digby, long & co., 1892.",1892,london,digby long & co.,play
14811298,lsidyv349bf10e,"fullarton, ralph w. macleod.","fullarton, ralph w. macleod",,,tannhäuser. [a drama in five acts and in prose and verse.] [electronic resource],tannhäuser,[a drama in five acts and in prose and verse.],,,,,,"edinburgh : w. blackwood and sons, 1893.",1893,edinburgh,w. blackwood and sons,play
14811299,lsidyv34ecf29a,"fuller, henry blake.",Henry Blake Fuller,https://www.wikidata.org/wiki/Q4493340,Q4493340,the puppet-booth. twelve plays [in prose]. [electronic resource],the puppet-booth. twelve plays,[in prose],,,,,,"new york : century co., 1896.",1896,new york,century co.,play
